"","X","ID","day","date","time","schedule","question","rating"
"125",125,3,2,"2016-08-26","13:13:32","self-initiated","pleasant activities",2
"126",126,3,2,"2016-08-26","14:18:06","self-initiated","worrying",1
"127",127,3,3,"2016-08-31","20:34:51","self-initiated","social contact",7
"128",128,3,3,"2016-08-31","22:19:36","self-initiated","mood",10
"129",129,3,3,"2016-08-31","00:37:52","self-initiated","sleep",7
"130",130,3,3,"2016-08-31","11:04:11","self-initiated","self-esteem",2
"131",131,3,3,"2016-08-31","12:06:18","self-initiated","enjoyed activities",1
"132",132,3,3,"2016-08-31","14:00:47","self-initiated","pleasant activities",5
"133",133,3,3,"2016-08-31","16:44:18","self-initiated","worrying",1
"134",134,3,4,"2016-08-30","19:09:52","self-initiated","social contact",7
"135",135,3,4,"2016-08-30","22:02:22","self-initiated","mood",7
"136",136,3,4,"2016-08-30","22:32:50","self-initiated","sleep",1
"137",137,3,4,"2016-08-30","23:34:12","self-initiated","self-esteem",7
"138",138,3,4,"2016-08-30","15:08:57","self-initiated","enjoyed activities",1
"139",139,3,4,"2016-08-30","15:56:04","self-initiated","pleasant activities",8
"140",140,3,4,"2016-08-30","17:04:01","self-initiated","worrying",2
"141",141,3,1,"2016-09-29","18:03:54","self-initiated","social contact",2
"142",142,3,1,"2016-09-29","20:22:59","self-initiated","mood",2
"143",143,3,1,"2016-09-29","22:31:35","self-initiated","sleep",2
"144",144,3,1,"2016-09-29","11:00:32","self-initiated","self-esteem",5
"145",145,3,1,"2016-09-29","12:45:56","self-initiated","enjoyed activities",7
"146",146,3,1,"2016-09-29","15:46:23","self-initiated","pleasant activities",4
"147",147,3,1,"2016-09-29","18:56:02","self-initiated","worrying",5
"148",148,3,2,"2016-08-23","20:02:40","self-initiated","social contact",3
"149",149,3,2,"2016-08-23","20:36:16","self-initiated","mood",10
"150",150,3,2,"2016-08-23","21:57:16","self-initiated","sleep",5
"151",151,3,2,"2016-08-23","23:12:33","self-initiated","self-esteem",8
"152",152,3,2,"2016-08-23","01:33:18","self-initiated","enjoyed activities",5
"153",153,3,2,"2016-08-23","11:14:21","self-initiated","pleasant activities",10
"154",154,3,2,"2016-08-23","15:20:23","self-initiated","worrying",1
"155",155,3,3,"2016-09-12","19:43:22","self-initiated","social contact",7
"156",156,3,3,"2016-09-12","01:01:24","self-initiated","mood",4
"157",157,3,3,"2016-09-12","11:32:19","self-initiated","sleep",4
"158",158,3,3,"2016-09-12","16:21:34","self-initiated","self-esteem",5
"159",159,3,3,"2016-09-12","17:44:54","self-initiated","enjoyed activities",4
"160",160,3,3,"2016-09-12","19:34:38","self-initiated","pleasant activities",6
"161",161,3,3,"2016-09-12","21:36:39","self-initiated","worrying",5
"162",162,3,4,"2016-08-29","02:17:26","self-initiated","social contact",6
"163",163,3,4,"2016-08-29","17:08:58","self-initiated","mood",10
"164",164,3,4,"2016-08-29","20:38:08","self-initiated","sleep",10
"165",165,3,4,"2016-08-29","21:35:18","self-initiated","self-esteem",3
"166",166,3,4,"2016-08-29","23:05:09","self-initiated","enjoyed activities",8
"167",167,3,4,"2016-08-29","01:46:21","self-initiated","pleasant activities",6
"168",168,3,4,"2016-08-29","01:57:18","self-initiated","worrying",6
"169",169,4,1,"2016-08-26","12:08:37","self-initiated","social contact",7
"170",170,4,1,"2016-08-26","12:09:00","self-initiated","mood",1
"171",171,4,1,"2016-08-26","13:02:19","self-initiated","sleep",4
"172",172,4,1,"2016-08-26","16:26:44","self-initiated","self-esteem",2
"173",173,4,1,"2016-08-26","17:37:31","self-initiated","enjoyed activities",5
"174",174,4,1,"2016-08-26","20:05:09","self-initiated","pleasant activities",3
"175",175,4,1,"2016-08-26","20:54:04","self-initiated","worrying",5
"176",176,4,2,"2016-08-31","01:18:54","self-initiated","social contact",10
"177",177,4,2,"2016-08-31","13:09:57","self-initiated","mood",6
"178",178,4,2,"2016-08-31","13:10:22","self-initiated","sleep",7
"179",179,4,2,"2016-08-31","13:10:43","self-initiated","self-esteem",8
"180",180,4,2,"2016-08-31","14:05:46","self-initiated","enjoyed activities",1
"181",181,4,2,"2016-08-31","14:36:59","self-initiated","pleasant activities",8
"182",182,4,2,"2016-08-31","16:50:04","self-initiated","worrying",10
"183",183,4,3,"2016-08-30","20:18:22","self-initiated","social contact",9
"184",184,4,3,"2016-08-30","23:03:23","self-initiated","mood",6
"185",185,4,3,"2016-08-30","23:04:41","self-initiated","sleep",10
"186",186,4,3,"2016-08-30","01:00:55","self-initiated","self-esteem",9
"187",187,4,3,"2016-08-30","10:34:56","self-initiated","enjoyed activities",2
"188",188,4,3,"2016-08-30","10:37:02","self-initiated","pleasant activities",8
"189",189,4,3,"2016-08-30","11:58:22","self-initiated","worrying",9
"190",190,4,4,"2016-09-29","13:04:44","self-initiated","social contact",1
"191",191,4,4,"2016-09-29","15:58:28","self-initiated","mood",6
"192",192,4,4,"2016-09-29","17:00:11","self-initiated","sleep",5
"193",193,4,4,"2016-09-29","19:41:55","self-initiated","self-esteem",4
"194",194,4,4,"2016-09-29","21:05:32","self-initiated","enjoyed activities",9
"195",195,4,4,"2016-09-29","23:47:03","self-initiated","pleasant activities",9
"196",196,4,4,"2016-09-29","04:14:16","self-initiated","worrying",3
"197",197,4,1,"2016-08-23","11:10:58","self-initiated","social contact",5
"198",198,4,1,"2016-08-23","11:11:25","self-initiated","mood",8
"199",199,4,1,"2016-08-23","13:37:38","self-initiated","sleep",2
"200",200,4,1,"2016-08-23","13:38:02","self-initiated","self-esteem",6
"201",201,4,1,"2016-08-23","13:38:43","self-initiated","enjoyed activities",6
"202",202,4,1,"2016-08-23","13:39:15","self-initiated","pleasant activities",1
"203",203,4,1,"2016-08-23","16:13:01","self-initiated","worrying",3
"204",204,4,2,"2016-09-12","16:55:27","self-initiated","social contact",3
"205",205,4,2,"2016-09-12","17:01:20","self-initiated","mood",7
"206",206,4,2,"2016-09-12","18:20:52","self-initiated","sleep",3
"207",207,4,2,"2016-09-12","23:39:43","self-initiated","self-esteem",10
"208",208,4,2,"2016-09-12","12:26:11","self-initiated","enjoyed activities",4
"209",209,4,2,"2016-09-12","12:26:35","self-initiated","pleasant activities",7
"210",210,4,2,"2016-09-12","12:26:56","self-initiated","worrying",10
"211",211,4,3,"2016-08-29","14:02:26","self-initiated","social contact",10
"212",212,4,3,"2016-08-29","14:04:50","self-initiated","mood",1
"213",213,4,3,"2016-08-29","15:19:13","self-initiated","sleep",9
"214",214,4,3,"2016-08-29","15:19:40","self-initiated","self-esteem",7
"215",215,4,3,"2016-08-29","15:20:09","self-initiated","enjoyed activities",9
"216",216,4,3,"2016-08-29","20:59:15","self-initiated","pleasant activities",4
"217",217,4,3,"2016-08-29","22:02:55","self-initiated","worrying",2
"218",218,4,4,"2016-08-26","01:37:54","self-initiated","social contact",7
"219",219,4,4,"2016-08-26","11:12:02","self-initiated","mood",10
"220",220,4,4,"2016-08-26","14:00:25","self-initiated","sleep",9
"221",221,4,4,"2016-08-26","18:56:42","self-initiated","self-esteem",9
"222",222,4,4,"2016-08-26","22:43:31","self-initiated","enjoyed activities",10
"223",223,4,4,"2016-08-26","01:00:13","self-initiated","pleasant activities",7
"224",224,4,4,"2016-08-26","01:27:31","self-initiated","worrying",3
"225",225,5,1,"2016-08-31","09:28:07","self-initiated","social contact",10
"226",226,5,1,"2016-08-31","09:28:54","self-initiated","mood",3
"227",227,5,1,"2016-08-31","14:25:14","self-initiated","sleep",7
"228",228,5,1,"2016-08-31","17:00:44","self-initiated","self-esteem",6
"229",229,5,1,"2016-08-31","17:01:05","self-initiated","enjoyed activities",1
"230",230,5,1,"2016-08-31","21:37:45","self-initiated","pleasant activities",9
"231",231,5,1,"2016-08-31","23:24:27","self-initiated","worrying",1
"232",232,5,2,"2016-08-30","01:27:43","self-initiated","social contact",1
"233",233,5,2,"2016-08-30","11:03:53","self-initiated","mood",1
"234",234,5,2,"2016-08-30","11:22:24","self-initiated","sleep",8
"235",235,5,2,"2016-08-30","16:57:34","self-initiated","self-esteem",6
"236",236,5,2,"2016-08-30","18:17:47","self-initiated","enjoyed activities",10
"237",237,5,2,"2016-08-30","19:31:49","self-initiated","pleasant activities",8
"238",238,5,2,"2016-08-30","20:05:03","self-initiated","worrying",5
"239",239,5,3,"2016-09-29","22:25:26","self-initiated","social contact",10
"240",240,5,3,"2016-09-29","01:29:48","self-initiated","mood",3
"241",241,5,3,"2016-09-29","01:39:27","self-initiated","sleep",5
"242",242,5,3,"2016-09-29","11:14:10","self-initiated","self-esteem",2
"243",243,5,3,"2016-09-29","14:03:38","self-initiated","enjoyed activities",3
"244",244,5,3,"2016-09-29","15:40:24","self-initiated","pleasant activities",4
"245",245,5,3,"2016-09-29","15:41:16","self-initiated","worrying",2
"246",246,5,4,"2016-08-23","15:42:39","self-initiated","social contact",8
"247",247,5,4,"2016-08-23","19:09:36","self-initiated","mood",3
"248",248,5,4,"2016-08-23","19:09:57","self-initiated","sleep",1
"249",249,5,4,"2016-08-23","21:12:07","self-initiated","self-esteem",6
"250",250,5,4,"2016-08-23","22:17:12","self-initiated","enjoyed activities",4
"251",251,5,4,"2016-08-23","00:21:02","self-initiated","pleasant activities",3
"252",252,5,4,"2016-08-23","10:16:00","self-initiated","worrying",7
"253",253,5,1,"2016-09-12","10:16:31","self-initiated","social contact",10
"254",254,5,1,"2016-09-12","10:16:50","self-initiated","mood",1
"255",255,5,1,"2016-09-12","11:06:59","self-initiated","sleep",4
"256",256,5,1,"2016-09-12","11:07:40","self-initiated","self-esteem",6
"257",257,5,1,"2016-09-12","13:17:41","self-initiated","enjoyed activities",10
"258",258,5,1,"2016-09-12","14:32:57","self-initiated","pleasant activities",3
"259",259,5,1,"2016-09-12","18:38:30","self-initiated","worrying",8
"260",260,5,2,"2016-08-29","21:04:48","self-initiated","social contact",5
"261",261,5,2,"2016-08-29","23:24:31","self-initiated","mood",8
"262",262,5,2,"2016-08-29","02:10:24","self-initiated","sleep",10
"263",263,5,2,"2016-08-29","10:38:44","self-initiated","self-esteem",6
"264",264,5,2,"2016-08-29","10:39:02","self-initiated","enjoyed activities",3
"265",265,5,2,"2016-08-29","11:34:12","self-initiated","pleasant activities",1
"266",266,5,2,"2016-08-29","12:49:44","self-initiated","worrying",1
"267",267,5,3,"2016-08-26","13:07:50","self-initiated","social contact",4
"268",268,5,3,"2016-08-26","14:28:26","self-initiated","mood",10
"269",269,5,3,"2016-08-26","14:43:04","self-initiated","sleep",7
"270",270,5,3,"2016-08-26","16:39:09","self-initiated","self-esteem",6
"271",271,5,3,"2016-08-26","19:58:13","self-initiated","enjoyed activities",10
"272",272,5,3,"2016-08-26","23:02:46","self-initiated","pleasant activities",9
"273",273,5,3,"2016-08-26","10:28:53","self-initiated","worrying",9
"274",274,5,4,"2016-08-31","11:43:49","self-initiated","social contact",7
"275",275,5,4,"2016-08-31","15:42:57","self-initiated","mood",2
"276",276,5,4,"2016-08-31","19:36:41","self-initiated","sleep",9
"277",277,5,4,"2016-08-31","20:51:15","self-initiated","self-esteem",5
"278",278,5,4,"2016-08-31","22:43:34","self-initiated","enjoyed activities",1
"279",279,5,4,"2016-08-31","16:06:42","self-initiated","pleasant activities",10
"280",280,5,4,"2016-08-31","17:35:04","self-initiated","worrying",3
"281",281,6,1,"2016-08-30","18:25:02","self-initiated","social contact",7
"282",282,6,1,"2016-08-30","12:53:07","self-initiated","mood",7
"283",283,6,1,"2016-08-30","14:53:51","self-initiated","sleep",10
"284",284,6,1,"2016-08-30","17:39:18","self-initiated","self-esteem",1
"285",285,6,1,"2016-08-30","19:20:08","self-initiated","enjoyed activities",6
"286",286,6,1,"2016-08-30","00:19:30","self-initiated","pleasant activities",4
"287",287,6,1,"2016-08-30","10:44:25","self-initiated","worrying",4
"288",288,6,2,"2016-09-29","14:01:00","self-initiated","social contact",5
"289",289,6,2,"2016-09-29","14:04:00","self-initiated","mood",9
"290",290,6,2,"2016-09-29","16:46:17","self-initiated","sleep",10
"291",291,6,2,"2016-09-29","17:45:01","self-initiated","self-esteem",4
"292",292,6,2,"2016-09-29","23:04:59","self-initiated","enjoyed activities",6
"293",293,6,2,"2016-09-29","21:06:23","self-initiated","pleasant activities",3
"294",294,6,2,"2016-09-29","22:44:05","self-initiated","worrying",9
"295",295,6,3,"2016-08-23","09:36:18","self-initiated","social contact",6
"296",296,6,3,"2016-08-23","09:37:18","self-initiated","mood",7
"297",297,6,3,"2016-08-23","10:40:55","self-initiated","sleep",8
"298",298,6,3,"2016-08-23","16:08:33","self-initiated","self-esteem",2
"299",299,6,3,"2016-08-23","09:43:03","self-initiated","enjoyed activities",8
"300",300,6,3,"2016-08-23","13:16:28","self-initiated","pleasant activities",6
"301",301,6,3,"2016-08-23","14:55:34","self-initiated","worrying",5
"302",302,6,4,"2016-09-12","20:13:06","self-initiated","social contact",4
"303",303,6,4,"2016-09-12","13:52:53","self-initiated","mood",9
"304",304,6,4,"2016-09-12","16:03:18","self-initiated","sleep",4
"305",305,6,4,"2016-09-12","17:17:13","self-initiated","self-esteem",3
"306",306,6,4,"2016-09-12","19:09:31","self-initiated","enjoyed activities",2
"307",307,6,4,"2016-09-12","20:31:04","self-initiated","pleasant activities",3
"308",308,6,4,"2016-09-12","21:02:27","self-initiated","worrying",8
"309",309,6,1,"2016-08-29","12:14:27","self-initiated","social contact",4
"310",310,6,1,"2016-08-29","13:53:39","self-initiated","mood",7
"311",311,6,1,"2016-08-29","18:47:10","self-initiated","sleep",9
"312",312,6,1,"2016-08-29","19:49:49","self-initiated","self-esteem",9
"313",313,6,1,"2016-08-29","20:10:53","self-initiated","enjoyed activities",3
"314",314,6,1,"2016-08-29","23:15:32","self-initiated","pleasant activities",2
"315",315,6,1,"2016-08-29","10:26:35","self-initiated","worrying",8
"316",316,6,2,"2016-08-26","19:54:34","self-initiated","social contact",3
"317",317,6,2,"2016-08-26","21:59:08","self-initiated","mood",4
"318",318,6,2,"2016-08-26","00:25:00","self-initiated","sleep",5
"319",319,6,2,"2016-08-26","15:06:16","self-initiated","self-esteem",4
"320",320,6,2,"2016-08-26","17:39:54","self-initiated","enjoyed activities",1
"321",321,6,2,"2016-08-26","07:29:15","self-initiated","pleasant activities",10
"322",322,6,2,"2016-08-26","13:44:40","self-initiated","worrying",9
"323",323,6,3,"2016-08-31","14:01:43","self-initiated","social contact",9
"324",324,6,3,"2016-08-31","16:29:00","self-initiated","mood",7
"325",325,6,3,"2016-08-31","18:40:54","self-initiated","sleep",2
"326",326,6,3,"2016-08-31","13:09:39","self-initiated","self-esteem",4
"327",327,6,3,"2016-08-31","19:05:59","self-initiated","enjoyed activities",3
"328",328,6,3,"2016-08-31","23:00:17","self-initiated","pleasant activities",2
"329",329,6,3,"2016-08-31","15:24:32","self-initiated","worrying",10
"330",330,6,4,"2016-08-30","17:28:19","self-initiated","social contact",5
"331",331,6,4,"2016-08-30","21:07:15","self-initiated","mood",2
"332",332,6,4,"2016-08-30","22:27:48","self-initiated","sleep",7
"333",333,6,4,"2016-08-30","17:23:31","self-initiated","self-esteem",10
"334",334,6,4,"2016-08-30","10:48:02","self-initiated","enjoyed activities",7
"335",335,6,4,"2016-08-30","12:29:39","self-initiated","pleasant activities",1
"336",336,6,4,"2016-08-30","14:10:41","self-initiated","worrying",9
"337",337,7,1,"2016-09-29","18:48:26","self-initiated","social contact",2
"338",338,7,1,"2016-09-29","11:26:51","self-initiated","mood",5
"339",339,7,1,"2016-09-29","12:39:08","self-initiated","sleep",3
"340",340,7,1,"2016-09-29","17:07:27","self-initiated","self-esteem",10
"341",341,7,1,"2016-09-29","19:31:42","self-initiated","enjoyed activities",1
"342",342,7,1,"2016-09-29","21:45:40","self-initiated","pleasant activities",4
"343",343,7,1,"2016-09-29","22:42:17","self-initiated","worrying",10
"344",344,7,2,"2016-08-23","09:42:39","self-initiated","social contact",6
"345",345,7,2,"2016-08-23","17:29:38","self-initiated","mood",6
"346",346,7,2,"2016-08-23","21:04:39","self-initiated","sleep",6
"347",347,7,2,"2016-08-23","11:37:26","self-initiated","self-esteem",4
"348",348,7,2,"2016-08-23","23:19:14","self-initiated","enjoyed activities",3
"349",349,7,2,"2016-08-23","13:23:19","self-initiated","pleasant activities",3
"350",350,7,2,"2016-08-23","17:58:07","self-initiated","worrying",5
"351",351,7,3,"2016-09-12","22:45:03","self-initiated","social contact",8
"352",352,7,3,"2016-09-12","09:26:19","self-initiated","mood",8
"353",353,7,3,"2016-09-12","23:01:01","self-initiated","sleep",3
"354",354,7,3,"2016-09-12","13:04:35","self-initiated","self-esteem",5
"355",355,7,3,"2016-09-12","13:40:33","self-initiated","enjoyed activities",7
"356",356,7,3,"2016-09-12","20:53:51","self-initiated","pleasant activities",2
"357",357,7,3,"2016-09-12","10:45:58","self-initiated","worrying",4
"358",358,7,4,"2016-08-29","14:05:10","self-initiated","social contact",9
"359",359,7,4,"2016-08-29","16:52:37","self-initiated","mood",5
"360",360,7,4,"2016-08-29","21:38:32","self-initiated","sleep",8
"361",361,7,4,"2016-08-29","14:10:51","self-initiated","self-esteem",4
"362",362,7,4,"2016-08-29","16:01:21","self-initiated","enjoyed activities",10
"363",363,7,4,"2016-08-29","11:55:50","self-initiated","pleasant activities",8
"364",364,7,4,"2016-08-29","11:56:33","self-initiated","worrying",6
"365",365,7,1,"2016-08-26","21:13:11","self-initiated","social contact",5
"366",366,7,1,"2016-08-26","19:31:07","self-initiated","mood",7
"367",367,7,1,"2016-08-26","19:55:18","self-initiated","sleep",8
"368",368,7,1,"2016-08-26","10:33:57","self-initiated","self-esteem",2
"369",369,7,1,"2016-08-26","16:02:18","self-initiated","enjoyed activities",4
"370",370,7,1,"2016-08-26","16:42:54","self-initiated","pleasant activities",8
"371",371,7,1,"2016-08-26","11:55:37","self-initiated","worrying",8
"372",372,7,2,"2016-08-31","11:56:51","self-initiated","social contact",5
"373",373,7,2,"2016-08-31","10:33:35","self-initiated","mood",6
"374",374,7,2,"2016-08-31","14:02:40","self-initiated","sleep",8
"375",375,7,2,"2016-08-31","21:06:52","self-initiated","self-esteem",7
"376",376,7,2,"2016-08-31","21:59:58","self-initiated","enjoyed activities",10
"377",377,7,2,"2016-08-31","12:39:30","self-initiated","pleasant activities",6
"378",378,7,2,"2016-08-31","13:29:38","self-initiated","worrying",6
"379",379,7,3,"2016-08-30","12:00:44","self-initiated","social contact",4
"380",380,7,3,"2016-08-30","14:56:12","self-initiated","mood",5
"381",381,7,3,"2016-08-30","17:25:44","self-initiated","sleep",7
"382",382,7,3,"2016-08-30","20:05:14","self-initiated","self-esteem",8
"383",383,7,3,"2016-08-30","21:08:29","self-initiated","enjoyed activities",8
"384",384,7,3,"2016-08-30","23:04:08","self-initiated","pleasant activities",2
"385",385,7,3,"2016-08-30","14:15:31","self-initiated","worrying",7
"386",386,7,4,"2016-09-29","16:59:27","self-initiated","social contact",2
"387",387,7,4,"2016-09-29","09:04:39","self-initiated","mood",7
